flid;ord;ordflokkur;texti;fjoldi_risamalheild;fjoldi_ritmalssafn
3043;almannarómur;n;það sem er altalað, margir hafa fyrir satt;358;0
6871;bréfabók;n;bók með safni bréfa;79;0
9213;efniskostnaður;n;framleiðslukostnaður vegna efnis;309;3
6931;brimrót;n;mikið brim, stórsjór;43;0
13134;framfærslukostnaður;n;(meðaltals)kostnaður við framfærslu;653;0
50368;súla;n;málmstöng, t.d. til að halda uppi tjaldi;380;0
50368;súla;n;málmstöng, t.d. til að halda uppi tjaldi;380;1
16337;grasate;n;heitur drykkur af ýmsum grösum, einkum fjallagrösum;10;7
16130;gosdrykkur;n;óáfengur drykkur með gosi, kolsýru í;111;0
32384;puttaferðalag;n;ferð þar sem ferðalangur reynir að stoppa farartæki og fá far með því að setja þumalfingur út í loft;17;1
55838;hátíðarmessa;n;guðsþjónusta með hátíðlegu sniði á hátíðisdegi;1903;1
52817;byssuhlaup;n;sá hluti byssu sem skotið fer eftir, þ.e. hólkurinn;84;0
44193;útspýttur;adj;vera á ferð og flugi, unna sér ekki hvíldar;1;0
39579;stokkbólginn;adj;mikið bólginn;78;0
17364;hafsbrún;n;sjóndeildarhringur yfir hafi;94;0
17744;hann;pron;(e.k. ákvæðisorð á undan mannsnafni eða skyldleikaorði (t.d. bróðir, pabbi) sem táknar kunnugleika eða tengsl);7614917;0
47034;þingvitni;n;réttarvottur, einkum á manntalsþingi, þingvottur;2;0
47479;þristur;n;strætisvagn númer þrjú, leið þrjú;599;0
48066;æðahnútur;n;hnýttar, þrútnar bláæðar, einkum á fótleggjum;8;0
6209;blær;n;litur, yfirbragð;3340;0
6209;blær;n;hægur vindur, andvari;3340;0
43928;útfiri;n;sá hluti strandar, fjöru, sem fellur af við útfall;41;0
26624;líkamsbeiting;n;það hvernig líkamanum er beitt;112;1
27575;manndrápsveður;n;þvílíkt veður að fólki er hætt á sjó og landi;13;0
19790;hjúskaparbrot;n;það að halda fram hjá þeim sem maður er giftur;248;2
26930;log;n;ljós, eldur;416;0
7597;byssuskefti;n;handfang á byssu;45;0
38678;spilaborg;n;turn sem hlaðinn er úr spilum;802;0
53619;búsetuleyfi;n;heimild til búsetu í landi;791;1
45250;vermireitur;n;reitur til að rækta plöntur, með hita eða loki;10;0
17744;hann;pron;ákveðið hlutverk í leik, t.d. stelpa eða strákur sem á að finna hina eða elta þá;7614917;0
43189;undirstrika;v;leggja áherslu á (e-ð);18329;0
34620;sannindamerki;n;... til sönnunar;52;0
3851;austan;adv;úr austri/austurátt;40764;0
51068;sáttarorð;n;reyna að sætta þau, miðla málum;39;5
3851;austan;adv;á austurhlið/austurhluta þess;40764;0
30161;nytsamlegur;adj;sem hafa má gagn af;83;0
3851;austan;adv;það er austanvindur;40764;0
17744;hann;pron;(óskilgreint frumlag með umsögnum um veður);7614917;0
41102;söngvinn;adj;hneigður fyrir söng;128;0
19003;hemlun;n;það að stöðva farartæki;375;4
17744;hann;pron;(notað í stað nafnorðs í ýmsum föstum tilsvörum);7614917;0
41417;tekjuöflun;n;öflun tekna, laun eða verðmæti sem e-r útvegar;6797;3
39299;stig;n;hitagráða;471769;0
39299;stig;n;eitt þriggja forma sem lýsingarorð stendur í (frumstig, miðstig, efsta stig);471769;0
39299;stig;n;punktur í matskerfi eða íþrótt;471769;0
39299;stig;n;gráða sem jarðskjálftar eru mældir í;471769;0
39681;stóriðnaður;n;stórfelld iðnaðarframleiðsla;117;0
37761;slóði;n;mjög síður bakhluti á flík, t.d. skikkju, sem liggur á gólfi;353;0
52794;dælubíll;n;bíll sem er búinn afkastamiklum dælum, t.d. til nota við slökkvistarf eða holræsahreinsum;436;1
39111;statistík;n;alls kyns tölulegar upplýsingar;77;4
28725;mjóni;n;ættkvísl fiska af mjónaætt (Lumpeniae);15;0
39111;statistík;n;grein innan stærðfræði, tölfræði;77;4
38625;spekúlant;n;"sá eða sú sem reynir að græða á viðskiptum, braskari 	";48;0
38625;spekúlant;n;sá eða sú sem er gefinn fyrir hugleiðingar, pælari;48;0
56970;sárleiður;adj;mjög leiður, mjög þreyttur á einhverju;3;0
6740;bráðskotinn;adj;mjög hrifinn eða ástfanginn af e-m;1;0
17744;hann;pron;<þeir> eru að fá fisk, <þeir> eru að afla vel;7614917;0
43147;undirkafli;n;kafli sem er undirskipaður aðalkafla (t.d. kafli 2.3.2 í ritgerð);52;4
16247;graður;adj;ógeltur;147;0
17744;hann;pron;kýla <manninn> í andlitið;7614917;0
17744;hann;pron;<þau> leggja af stað;7614917;0
10433;fagurfræðilegur;adj;í samræmi við fagurfræði;67;0
52798;vændishús;n;staður þar sem vændi er stundað gegn gjaldi;398;4
15673;glaðningur;n;lítil gjöf sem kemur á óvart eða kemur sér einkar vel þegar gefin er;316;0
42380;trúmennska;n;tryggð;294;0
14447;fyrning;n;það að gera eitthvað fornlegt, t.d. að fyrna mál sitt;2015;0
41207;tannafar;n;ummerki eftir tennur;9;0
34978;semball;n;ásláttarhljóðfæri með nótnaborði sem tengt er við snertla sem slá á (hörpu)strengi;153;4
47132;þjóðhollur;adj;sem er hollur, tryggur þjóð sinni;32;0
15234;gengisbreyting;n;breyting á gengi gjaldmiðils;598;0
10101;endurhæfing;n;það að koma líkamanum aftur í gott ástand eftir veikindi eða slys;1826;4
40249;sultaról;n;minnka neyslu, auka aðhald;37;4
22635;innköllun;n;áskorun skiptaráðanda, erfingja eða annarra til skuldheimtumanna eða annarra rétthafa um að lýsa kröfum sínum í bú birt í Lögbirtingablaði.;3348;0
22635;innköllun;n;það að taka úr umferð prentað mál eða vöru, einkum vegna galla;3348;0
61310;staðsetningartæki;n;tæki sem sýnir staðarákvörðun (t.d. farartækis) á nákvæman hátt;674;3
4546;áunninn;adj;sem maður er búinn að vinna sér inn, safna sér;664;0
4546;áunninn;adj;sem ekki er meðfæddur;664;0
15329;gerviveröld;n;óraunveruleg veröld;76;3
28565;misbjóða;v;móðga (e-n), hneyksla (e-n);897;0
4540;átvagl;n;sá eða sú sem borðar mjög mikið;51;9
4540;átvagl;n;sá eða sú sem borðar mjög mikið;51;0
4540;átvagl;n;sá eða sú sem borðar mjög mikið;51;9
4540;átvagl;n;sá eða sú sem borðar mjög mikið;51;0
15022;geðflækja;n;sálræn togstreita;1;0
32883;refjar;n;heimta mat sinn og engin undanbrögð;174;0
36686;skjálfandi;adj;sem skelfur;1167;0
45618;viðurkenning;n;það að játa e-ð, viðurkenna e-ð;11546;0
45618;viðurkenning;n;dálítil verðlaun, oft í formi skjals, fyrir góðan árangur í e-u;11546;0
27502;maklegur;adj;fá verðskuldaða refsingu eða málalok;129;0
41241;tannsteinn;n;hörð skán utan á tönnum;27;0
42463;tugur;n;ellefu til nítján manns;1592;0
41419;tekt;n;... milli fermingar og tvítugs;16;0
38832;sprotabelti;n;belti úr ferhyrndum málmplötum (hvítu eða gylltu silfri, áður fyrr ásaumuðum, nú hlekkjuðum saman), með sprota við úr sama efni til skrauts, tíðkaðist með faldbúningi á 17. og fram á 18. öld, nú notað við skautbúning og kyrtil;13;0
31828;pallur;n;flöt upphækkun, oftast úr tré;524;0
38419;sólarlandaferð;n;ferðalag til sólarlanda;377;4
56461;kaffikarl;n;maður sem hefur dálæti á kaffidrykkju;8;1
45075;velta;n;það að sveiflast til beggja hliða;77403;0
43125;undirdjúp;n;mikið djúp, neðsti hluti dýpis, undirheimar hafdjúpanna;49;0
26131;leisti;n;lágur sokkur (oft úr grófu ullarbandi);27;0
24542;kórdrengur;n;drengur sem aðstoðar prest við guðsþjónustu;105;2
56514;karlalið;n;lið sem er skipað karlmönnum;2510;2
49729;níræðisafmæli;n;90 ára afmæli;356;1
46976;þilskip;n;skúta, seglskip með þilfari, notuð til fiskveiða við Ísland á 19. öld;84;0
56452;tebolli;n;bolli fyrir te;217;0
39646;stórafmæli;n;afmæli sem er heill tugur í árum, t.d. 50, 60, 70 ára afmæli;1199;6
56452;tebolli;n;bolli af tei;217;0
4938;barnaskóli;n;skóli með neðstu bekkjum grunnskóla til og með 12 ára aldurs, undanfari unglingaskóla;508;0
44683;vatnafiskur;n;fiskur sem lifir í fersku vatni;57;0
58164;rakkrem;n;krem notað við rakstur í stað raksápu;15;3
35038;sería;n;ljós í lengju;1081;4
35038;sería;n;röð af e-u útgefnu eða framleiddu, t.d. bókum;1081;4
26749;ljóðlína;n;lína í ljóði, braglína, vísuorð;130;5
35038;sería;n;röð sjónvarpsþátta;1081;4
58153;rafmagnstannbursti;n;tannbursti sem gengur fyrir rafmagni;5;1
36937;skóladrengur;n;drengur sem er í skóla;39;0
36957;skólasálfræðingur;n;sálfræðingur sem sinnir sálfræðistörfum innan skóla;93;6
27904;málaralist;n;sú listgrein að mála myndir;809;0
34720;sáðfall;n;sáðlát;181;5
29438;náðhús;n;salerni, klósett, kamar;53;0
26131;leisti;n;fótlíkan sem skósmiðir nota við iðn sína;27;0
26131;leisti;n;neðri hluti sokks;27;0
45646;vik;n;smávinna, viðvik;6068;0
45646;vik;n;skarð;6068;0
17705;handskiptur;adj;beinskiptur, ekki sjálfskiptur;162;5
17705;handskiptur;adj;handstrengjóttur og greindur í flipa niður að blaðgrunninum;162;5
25378;lafði;n;enskur titill aðals- eða hefðarkonu;657;0
26315;léttklæddur;adj;lítið klæddur;142;0
20938;hringla;n;leikfang handa ungbörnum sem hringlar í þegar það er hrist;721;1
55855;heildarverðmæti;n;samanlagt verðmæti;2986;4
34788;sár;adj;með sár á líkamanum;18884;0
32198;pottlok;n;lok á potti;79;0
32198;pottlok;n;lítil húfa;79;0
20252;hneykslismál;n;mál sem vekur hneykslun og vanþóknun;1211;6
58213;reiðiöskur;n;hátt hljóð sem rekið er upp vegna reiði;15;3
17570;hamrabelti;n;langur samfelldur hamar;142;0
53991;atvinnuflugmaður;n;flugmaður sem hefur leyfi til að starfa við og fá greitt fyrir að fljúga flugvél;243;6
16740;gróðurlendi;n;svæði þakið gróðri;857;0
39028;standlampi;n;gólflampi;23;0
42131;tómahljóð;n;holt hljóð, hljóð eins og úr tómi;120;0
39302;stigagjöf;n;það að veita stig, t.d. í spurningakeppni eða fyrir svör á prófi;557;2
42081;tormeltur;adj;sem erfitt er að melta;12;0
8504;draumsýn;n;ímyndaðar aðstæður sem tengjast draumum manns og þrám;1106;0
11268;fiskasteinn;n;steinn til að berja harðfisk á;1;0
46232;vopnaður;adj;búinn vopni, sem ber vopn;5655;0
42081;tormeltur;adj;sem erfitt er að skilja eða njóta;12;0
7074;brókaði;n;þykkt mynsturofið silki- eða gerviefni;3;5
