"flid","ord","ordflokkur","texti"
3049,"almannavarnir","n fpl","opinber viðbúnaður til að bregðast við náttúruhamförum og öðrum stóráföllum; stofnun sem annast slíkan viðbúnað"
3043,"almannarómur","n m","það sem er altalað, margir hafa fyrir satt"
12803,"forstöðumaður","n m","æðsti stjórnandi (einkum stofnunar)"
52940,"hringfari","n m","áhald til að teikna með hring, sirkill"
6851,"breyskleiki","n m","það að vera breyskur, veikleiki gagnvart freistingum"
6849,"breyskja","n f","mikill hiti og þurrkur"
6859,"breyting","n f","það að e-ð breytist, umskipti"
5804,"blaður","n n","mikið en innihaldslítið tal"
6853,"breyta","n f","stærð sem hefur breytilegt gildi"
55567,"skáldgáfa","n f","sá hæfileiki sem þarf til að vera skáld, skáldskapargáfa"
3048,"almannavald","n n","ríkisvald í lýðræðisríki"
3735,"augasteinn","n m","linsa augans, svarti miðhluti augans"
5845,"blábjáni","n m","flón, fábjáni"
55566,"sköpunargáfa","n f","sá hæfileiki sem þarf til að geta skapað og búið til"
5855,"blágreni","n n","tegund barrtrés"
3047,"almannatryggingar","n fpl","opinbert tryggingakerfi sem nær til allra landsmanna"
2246,"aðalleikari","n m","leikari sem fer með stórt hlutverk í leiksýningu eða kvikmynd"
3842,"auraráð","n npl","handbærir peningar, eyðslufé"
17324,"hafnaboltakylfa","n f","kylfa notuð til að leika hafnabolta"
3044,"almannatengsl","n npl","starfsemi sem lýtur að því að hafa áhrif á viðhorf almennings til fyrirtækis, stofnunar eða einstaklings"
2245,"aðalleið","n f","mikilvæg samgönguleið, fjölfarinn vegur"
5877,"blárefur","n m","afbrigði af heimskautaref ræktað vegna feldsins"
6874,"bréfalúga","n f","op við eða á útihuð fyrir póst"
41780,"tindabikkja","n f","fisktegund"
55758,"trampólín","n n","fjaðrandi strengd e.k. dýna til að hoppa á"
5901,"bláþráður","n m","veikur þráður, veikleiki"
5899,"blávatn","n n","hreint, óblandað vatn"
5860,"bláhrafn","n m","tegund hrafns, flækingur á Íslandi"
35329,"silki","n n","fíngert efni unnið úr þráðum sem silkiormur spinnur"
6871,"bréfabók","n f","bók með safni bréfa"
55532,"skapgerðargalli","n m","galli í lundarfari, skapbrestur, skapveila"
6877,"bréfaskipti","n npl","skrifleg samskipti"
21622,"húsgangur","n m","alkunn vísa sem hefur borist milli manna"
6878,"bréfaskóli","n m","skóli sem kennir með bréfaskiptum"
4529,"áttleysa","n f","hægur andvari en hvikul, óræð átt"
56387,"ójafnt","adv","ekki jafnt"
21246,"hugarangur","n n","andleg vanlíðan, óróleiki"
5888,"blástursaðferð","n f","það að lífga mann við með því að blásta lofti í munn hans"
14732,"galdrakarl","n m","maður sem kann að galdra, göldróttur maður"
5893,"blástursofn","n m","bakarofn sem eldar matinn með heitum blæstri"
6872,"bréfakarfa","n f","ílát til að fleygja í pappírsrusli, ruslakarfa"
2240,"aðalinngangur","n m","stærsti og helsti inngangur í byggingu eða inn á svæði"
5891,"blásturshol","n n","blástursop hvals"
5911,"bleiubuxur","n fpl","hlífðarbuxur utan yfir taubleiu"
27549,"mannafæla","n f","sá eða sú sem forðast samneyti við fólk"
59687,"bensínafgreiðsla","n f","sölustaður fyrir eldsneyti"
9415,"eignamaður","n m","maður sem á miklar eignir"
36283,"skelkaður","adj","óttasleginn, hræddur"
17179,"gæfur","adj","sem hræðist ekki fólk, óstyggur"
53951,"bólfimi","n f","það að vera góður til kynmaka (í rúminu)"
2328,"aðgreining","n f","það að skilja á milli tveggja eða fleiri hluta/atriða"
10893,"feilspor","n n","smávægileg yfirsjón"
6882,"bréfburður","n m","það að bera út póst"
55700,"tófugreni","n n","hola eða gjóta refa, legustaður refa"
46252,"vorkunn","n f","það að vorkenna e-m, meðaumkun"
6890,"bréfmiði","n m","lítið stykki af pappír"
48760,"blikk","n n","það að blikka augunum"
5946,"bleyðimenni","n n","huglaus maður, gunga, bleyða"
6913,"brigsl","n n","aðdóttun, ásökun"
5948,"bleyðiskapur","n m","hugleysi, kjarkleysi"
6880,"bréfberi","n m","sá eða sú sem ber út póst"
2323,"aðgerðaleysi","n n","það að gera ekki neitt"
9213,"efniskostnaður","n m","framleiðslukostnaður vegna efnis"
6893,"bréfsefni","n n","pappír og umslag í stíl"
35375,"sirkill","n m","áhald til að teikna með hring, hringfari"
6891,"bréfpoki","n m","poki úr pappír"
30465,"ofboð","n n","hræsla og uppnám"
6919,"brilljantín","n n","hárolía"
6006,"blíðuhót","n npl","líkamleg snerting sem tjáning hlýhugar og vináttu"
2251,"aðalritari","n m","æðsti embættismaður í (sumum) samtökum og stofnunum"
2250,"aðalpersóna","n f","mikilvægasta persóna í sögu, leikriti eða kvikmynd"
60162,"húllumhæ","n n","glaðvær skemmtun með ýmsum uppákomum"
5986,"blindrammi","n m","rammi sem strigi er strengdur á til að mála á eða efni til að sauma í"
6916,"brigslyrði","n n","brigsl, ásökunarorð"
6926,"brimgarður","n m","brimalda meðfram fjöru"
2252,"aðalrofi","n m","búnaður (rofi) til að rjúfa eða hleypa straumi á rafkerfi, t.d. tækis eða húss"
6931,"brimrót","n n","mikið brim, stórsjór"
6938,"bringusund","n n","sundtegund þar sem synt er á maganum"
3305,"andstæðingur","n m","sá eða sú sem er á móti öðrum í baráttu, keppni, leik eða skoðunum"
21266,"hugarvíl","n n","andleg vanlíðan, óróleiki í huganum"
6925,"brimbrjótur","n m","varnargarður í sjó úr grjóti"
48471,"örbirgð","n f","mikil fátækt"
6011,"blístra","n f","flauta"
48992,"djúsa","v","drekka áfengi"
6045,"blóðflaga","n f","smæsta ögn blóðsins"
6047,"blóðfórn","n f","fórn lifandi dýrs eða manns"
52941,"gráðubogi","n m","áhald til að mæla horn"
40815,"sykurrófa","n f","afbrigði beðju sem sykur er unninn úr"
13134,"framfærslukostnaður","n m","(meðaltals)kostnaður við framfærslu"
6935,"bringspalir","n fpl","neðsti hluti bringubeinsins og rifbeinin þar um kring"
23189,"jólaöl","n n","(óáfengt) öl, áþekkt hvítöli og malti, framleitt fyrir jólin"
12369,"flutningskostnaður","n m","kostnaður af flutningi"
13516,"freyðivín","n n","léttvín sem gos er í og freyðir"
19782,"hjúkrunarheimili","n n","stofnun, heimili fyrir lasburða gamalt fólk"
56838,"kynlífsathafnir","n fpl","kynferðislegar athafnir"
21919,"hvítöl","n n","dökkt óáfengt öl (2,25% eða minna) gerjað með yfirgerjun"
2256,"aðalskrifstofa","n f","skrifstofa þar sem yfirstjórn fyrirtækis eða stofnunar hefur aðsetur"
53070,"veglyndi","n n","það að vera veglyndur"
16033,"glögg","n f/n","hitað rauðvín með kryddi"
19106,"herkostnaður","n m","útgjöld vegna hers"
56697,"kveðjukoss","n m","koss í kveðjuskyni"
52894,"bíldrusla","n f","lélegur bíll"
18613,"heimabrugg","n n","áfengur drykkur, öl, vín eða sterkara, framleiddur í heimahúsum"
6066,"blóðleysi","n n","skortur á blóðrauða í blóðinu"
23430,"kaplamjólk","n f","móðurmjólk folaldsins, merarmjólk"
16337,"grasate","n n","heitur drykkur af ýmsum grösum, einkum fjallagrösum"
6038,"blóðbönd","n npl","líffræðilegur skyldleiki, fjölskyldutengsl, ættartengsl"
17069,"gulur","adj","á litinn eins og sólin eða sítróna, einn af þremur frumlitum"
32716,"rauðvín","n n","rautt léttvín"
41325,"tákngildi","n n","það sem eitthvert tákn táknar"
59710,"eiturlyfjasmygl","n n","það að smygla eiturlyfjum"
6065,"blóðlát","n n","það að missa blóð, blóðmissir"
19954,"hljóðdeyfir","n m","búnaður til að draga úr hávaða frá háværri vél eða tæki, t.d. byssu"
20199,"hnappagat","n n","gat (venjulega í jaðri flíkur) til að smeygja hnapp eða tölu gegnum þegar hneppt er"
